Move,game_id,next_move,result,a1,b1,c1,d1,e1,f1,g1,h1,a2,b2,c2,d2,e2,f2,g2,h2,a3,b3,c3,d3,e3,f3,g3,h3,a4,b4,c4,d4,e4,f4,g4,h4,a5,b5,c5,d5,e5,f5,g5,h5,a6,b6,c6,d6,e6,f6,g6,h6,a7,b7,c7,d7,e7,f7,g7,h7,a8,b8,c8,d8,e8,f8,g8,h8
79,11154,e8f8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,9,10,0,0,0,0,0,0,3,0,0,0,0,0,0,-9,0,0,1,0,0,0,0,0,0,0,0,0,-1,-1,0,0,-5,0,-1,0,0,0,0,0,0,5,-10,0
117,11419,a3a2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-10,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0
52,10891,h1h2,0,0,0,0,0,0,5,0,10,0,0,0,9,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,-5,0,0,0,-1,0,0,0,0,0,0,-3,0,0,0,-9,-1,-1,-1,-1,0,0,0,-1,0,0,0,0,0,0,0,-10,-5
53,10891,g6f5,0,0,0,0,0,0,5,0,0,0,0,0,9,0,1,0,10,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,-5,0,0,0,-1,0,0,0,0,0,0,-3,0,0,0,-9,-1,-1,-1,-1,0,0,0,-1,0,0,0,0,0,0,0,-10,-5
57,10926,f4h4,0,0,0,0,3,5,0,0,10,1,1,0,0,0,0,0,3,0,0,1,0,-1,1,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,-5,0,-10
58,10926,e1e2,0,0,0,0,3,5,0,0,10,1,1,0,0,0,0,0,3,0,0,1,0,-1,1,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,-5,0,-10
59,10926,g5f4,0,0,0,0,3,0,0,0,10,1,1,0,0,5,0,0,3,0,0,1,0,-1,1,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,-5,0,-10
37,11044,c6d4,1,5,3,0,0,9,0,10,5,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,-1,0,0,0,0,0,0,-1,0,0,1,1,0,-1,-5,0,0,-3,0,0,0,0,0,0,0,-1,-1,0,0,-1,0,-5,0,-3,-10,0,0,0,0
36,11086,e1d1,1,0,0,0,0,10,0,0,5,1,0,1,0,3,0,1,1,0,0,-3,5,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,-1,0,0,-9,0,0,0,-1,0,-1,0,-10,0,-1,0,0,-5,-3,-3,0,0,0,0,-5
34,11339,d1d8,1,0,0,0,5,0,0,10,5,0,-9,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,-1,0,0,0,0,0,0,0,3,0,-1,0,0,0,-1,0,0,0,0,-1,-1,-1,-5,0,-3,0,0,-10,0,-5
95,11457,f6g6,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,10,-1,0,0,0,-5,5,-1,-1,0,0,0,0,0,-1,0,0,0,0,-10,0,0,0,-5
96,11457,h5g6,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,10,-1,0,0,0,0,-5,-1,-1,0,0,0,0,0,-1,0,0,0,0,-10,0,0,0,-5
97,11457,d8e7,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,-1,0,0,0,0,1,-1,-1,0,0,0,0,0,-1,0,0,0,0,-10,0,0,0,-5
